"city","USAFID","rank","YR","M","D","HR","LAT","LONG","ELEV","WIND.DIR","WIND.SPD","TEMP","DEW.POINT"
"Las Vegas",724846,2,2009,1,11,6,36.212,-115.19,672,350,4.6,10.6,-10.6
"Las Vegas",724846,2,2009,1,11,7,36.212,-115.19,672,674.5,503.05,10.6,-10.6
"Las Vegas",724846,2,2009,1,11,8,36.212,-115.19,672,350,7.2,10,-10
"Las Vegas",724846,2,2009,1,11,9,36.212,-115.19,672,340,5.7,9.4,-10
"Las Vegas",724846,2,2009,1,11,10,36.212,-115.19,672,360,7.2,8.9,-10.6
"Las Vegas",724846,2,2009,1,11,11,36.212,-115.19,672,999,0,6.1,-9.4
"Las Vegas",724846,2,2009,1,11,12,36.212,-115.19,672,280,3.1,6.1,-9.4
"Las Vegas",724846,2,2009,1,11,13,36.212,-115.19,672,999,0,7.2,-10
"Las Vegas",724846,2,2009,1,11,14,36.212,-115.19,672,300,3.1,7.2,-10.6
"Las Vegas",724846,2,2009,1,11,15,36.212,-115.19,672,270,3.6,8.9,-10.6
"Las Vegas",724846,2,2009,1,11,16,36.212,-115.19,672,290,2.6,11.7,-11.1
"Las Vegas",724846,2,2009,1,11,17,36.212,-115.19,672,260,2.6,12.8,-11.1
"Las Vegas",724846,2,2009,1,11,18,36.212,-115.19,672,360,3.1,16.1,-11.7
"Las Vegas",724846,2,2009,1,11,19,36.212,-115.19,672,110,3.1,15.6,-8.3
"Las Vegas",724846,2,2009,1,11,20,36.212,-115.19,672,150,3.1,16.7,-11.1
"Las Vegas",724846,2,2009,1,11,21,36.212,-115.19,672,120,2.1,17.2,-11.1
"Las Vegas",724846,2,2009,1,11,22,36.212,-115.19,672,120,4.6,17.8,-10
"Las Vegas",724846,2,2009,1,11,23,36.212,-115.19,672,30,3.6,19.4,-12.8
"Las Vegas",724846,2,2009,1,12,0,36.212,-115.19,672,350,5.7,18.3,-13.3
"Las Vegas",724846,2,2009,1,12,1,36.212,-115.19,672,350,4.1,17,-11
"Las Vegas",724846,2,2009,1,12,2,36.212,-115.19,672,350,6.7,16.1,-10
"Las Vegas",724846,2,2009,1,12,3,36.212,-115.19,672,340,5.7,15.6,-9.4
"Las Vegas",724846,2,2009,1,12,4,36.212,-115.19,672,20,4.6,13.9,-8.9
"Las Vegas",724846,2,2009,1,12,5,36.212,-115.19,672,10,5.7,13.3,-8.3
"Las Vegas",724846,2,2009,1,12,6,36.212,-115.19,672,20,3.6,11.7,-7.8
"Las Vegas",724846,2,2009,1,12,7,36.212,-115.19,672,669.5,502.25,11.7,-7.2
"Las Vegas",724846,2,2009,1,12,8,36.212,-115.19,672,360,6.7,11.7,-6.1
"Las Vegas",724846,2,2009,1,12,9,36.212,-115.19,672,330,4.6,10,-5.6
"Las Vegas",724846,2,2009,1,12,10,36.212,-115.19,672,360,5.7,10.6,-5
"Las Vegas",724846,2,2009,1,12,11,36.212,-115.19,672,340,5.1,10,-4.4
"Las Vegas",724846,2,2009,1,12,12,36.212,-115.19,672,320,4.6,8.3,-4.4
"Las Vegas",724846,2,2009,1,12,13,36.212,-115.19,672,340,5.1,9.4,-4.4
"Las Vegas",724846,2,2009,1,12,14,36.212,-115.19,672,300,5.7,8.9,-4.4
"Las Vegas",724846,2,2009,1,12,15,36.212,-115.19,672,340,5.4,10.35,-4.2
"Las Vegas",724846,2,2009,1,12,16,36.212,-115.19,672,10,3.6,12.2,-4.4
"Las Vegas",724846,2,2009,1,12,17,36.212,-115.19,672,60,4.1,13.9,-3.9
"Las Vegas",724846,2,2009,1,12,18,36.212,-115.19,672,20,4.6,16.7,-3.9
"Las Vegas",724846,2,2009,1,12,19,36.212,-115.19,672,350,6.2,18.3,-4.4
"Las Vegas",724846,2,2009,1,12,20,36.212,-115.19,672,70,3.1,18.9,-4.4
"Las Vegas",724846,2,2009,1,12,21,36.212,-115.19,672,80,3.6,19.4,-4.4
"Las Vegas",724846,2,2009,1,12,22,36.212,-115.19,672,90,4.6,19.4,-4.4
"Las Vegas",724846,2,2009,1,12,23,36.212,-115.19,672,340,6.2,19.4,-3.9
"Las Vegas",724846,2,2009,1,13,0,36.212,-115.19,672,360,7.2,17.8,-3.3
"Las Vegas",724846,2,2009,1,13,1,36.212,-115.19,672,20,4.6,17.2,-2.8
